Interval Start Time,Interval Number,Event Count
1710976372.8178492,0,0
1710976374.8178492,1,4
1710976384.8279843,2,2
1710976394.8381066,3,2
1710976404.848229,4,0
1710976414.8583508,5,6
1710976424.8684769,6,2
1710976434.8786016,7,2
1710976444.8887234,8,0
1710976454.8988855,9,2
1710976464.9090123,10,2
1710976474.9191318,11,2
1710976484.9292989,12,2
