Time,State
Count Interval,0
1712185832.965913,HIGH
1712185832.9660726,HIGH
1712185838.9718199,LOW
1712185838.971884,HIGH
1712185838.9726365,LOW
1712185838.972806,HIGH
1712185839.2082996,LOW
1712185839.2084963,HIGH
1712185842.2332642,HIGH
1712185842.2334204,HIGH
