Time,PM10,PM25,PM100,Temperature,Gas,Relative Humidity,Pressure,Altitude
1707958024.0069196,0,0,0,34.505,173755,100,751.8949906571423,2446.537892247193
1707958025.0202715,0,0,0,24.025703125,38456,44.327130476548945,1005.1851148884568,67.36309554366
1707958026.0335326,0,0,0,24.0598828125,62674,44.18097467747012,1005.1803513064556,67.4030131509682
1707958027.0449548,0,0,0,24.0966015625,83393,44.02922769370552,1005.1695243104832,67.49374119705801
1707958028.056274,0,0,0,24.1341015625,98820,43.86570912741655,1005.1702819001872,67.48739272214105
1707958029.0693793,0,0,0,24.1669140625,111074,43.70179562479404,1005.1666520674466,67.51781014814318
1707958030.082284,0,0,0,24.1946484375,121907,43.549407618868756,1005.1631307696003,67.54731815383535
1707958031.093332,0,0,0,24.221015625,130350,43.4268700442402,1005.1624732012175,67.55282849834468
1707958032.1044252,0,0,0,24.2426953125,136735,43.375561929739256,1005.1642934256338,67.53757524229292
1707958033.1160846,0,0,0,24.2598828125,143530,43.34764912238902,1005.1603419105081,67.57068847998416
1707958034.127145,0,0,0,24.273359375,149154,43.319317091166866,1005.1587824081878,67.58375695725975
1707958035.1383042,0,0,0,24.28,154663,43.26035279183979,1005.1612703353392,67.56290837828357
1707958036.1512072,0,0,0,24.284296875,158168,43.177267650756875,1005.1615683380951,67.56041114800178
1707958037.164242,0,0,0,24.281953125,162149,43.11733134614234,1005.1576631852305,67.59313594655575
1707958038.1767402,0,0,0,24.278828125,163734,43.06329220765587,1005.1644638216233,67.53614734606671
1707958039.189667,0,0,0,24.275703125,168173,43.098725369079325,1005.1575415562005,67.59415518756938
1707958040.2023501,0,0,0,24.27296875,170918,43.16404504430158,1005.1598468845484,67.57483674744594
1707958041.2151062,0,0,0,24.2692578125,172503,43.25913040939823,1005.1673863154791,67.51165725823398
1707958042.2279766,0,0,0,24.2659375,174661,43.420042847338,1005.1635692148079,67.54364403698627
1707958043.2405236,0,0,2,24.262421875,176874,43.599033592656134,1005.1559960392283,67.60710649813822
1707958044.2529984,0,0,2,24.259296875,178381,43.79023699705094,1005.1490737620496,67.6651148338403
1707958045.2643368,0,0,2,24.2551953125,180108,43.963554791785484,1005.1422396338312,67.72238480299298
1707958046.2755077,0,0,2,24.2493359375,182661,44.12484196593096,1005.144483565102,67.70358063248993
1707958047.286349,0,0,2,24.2426953125,184268,44.286189773832035,1005.1454255431419,67.69568685554285
1707958048.2978332,0,0,2,24.238203125,185493,44.40585337643311,1005.1499471777884,67.65779563590571
1707958049.3093278,0,0,1,24.233125,186734,44.49545667377574,1005.1552075595989,67.61371390157883
1707958050.320988,0,0,1,24.22921875,186958,44.567190630080674,1005.1538443127397,67.62513782358893
1707958051.3322222,0,0,1,24.225703125,187490,44.63899962384579,1005.151416694427,67.64548114177084
1707958052.3435977,0,0,1,24.2219921875,188563,44.680708139914984,1005.1452331843849,67.69729882163607
1707958053.3551178,0,0,1,24.2180859375,188563,44.75854165216481,1005.1421546306336,67.72309713145798
1707958054.3688793,0,0,1,24.21203125,190527,44.8120548722631,1005.1475023778464,67.67828299972751
1707958055.3804576,0,0,1,24.2071484375,191524,44.847640153027235,1005.1565177683692,67.6027344472053
1707958056.3932035,0,0,1,24.2036328125,192983,44.86530965699117,1005.1558050314545,67.60870712936469
