Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712795195.84,0,0,23.5,0.0,0.0,0.0,23.69318359375,48.135931180998924,1007.2824624436435,49.80272836779581,74738.5
1712795197.7,0,0,21.5,0.0,0.0,0.0,23.69318359375,48.135931180998924,1007.2824624436435,49.80272836779581,74738.5
1712795199.75,0,0,23.0,0.0,0.5,0.5,23.82755859375,52.53159417752337,1007.1087000450566,51.256449329065504,33185.0
1712795201.7,0,0,23.0,0.0,0.5,0.5,23.97189453125,51.19663789964817,1007.0036133523072,52.13571936971729,39550.5
1712795203.75,0,0,25.0,0.0,1.0,1.0,24.080097656249997,49.99134813515242,1006.9481190703448,52.60007623637977,46641.0
1712795205.72,0,0,25.5,0.0,1.0,1.0,24.16046875,48.99963964603805,1006.9118610015255,52.90348227326547,53402.0
1712795207.75,0,0,29.0,0.0,1.0,1.0,24.2192578125,48.225138801181686,1006.9007546751513,52.996421452607024,59546.5
1712795209.7,0,0,29.0,0.0,1.0,1.0,24.262324218750003,47.59652627750468,1006.8890177104206,53.09463872817179,65002.0
1712795211.75,0,0,21.5,0.0,1.0,1.0,24.3008984375,47.10171916847266,1006.8932356066591,53.05934239994018,69245.5
1712795213.73,0,0,24.0,0.0,1.0,1.0,24.3329296875,46.73937054301004,1006.8919605144879,53.070012653930945,73010.0
1712795215.75,0,0,25.5,0.0,1.0,1.0,24.355,46.421450107449004,1006.8865249281639,53.115498963686804,76295.0
1712795217.72,0,0,26.5,0.0,1.0,1.0,24.373066406249997,46.1753322614337,1006.8857753923928,53.121771376631074,79518.0
1712795219.75,0,0,26.5,0.0,1.0,1.0,24.38810546875,45.95606346160036,1006.8766417257425,53.19820453797419,82376.5
1712795221.73,0,0,25.0,0.0,1.0,1.0,24.400996093750003,45.76066389892958,1006.8838444567965,53.13792993629257,84106.0
1712795223.76,0,0,17.0,0.0,1.0,1.0,24.41095703125,45.58896496480186,1006.8923111668321,53.067078310697426,86364.0
1712795225.72,0,0,23.5,0.0,1.0,1.0,24.41779296875,45.43789733344613,1006.8887856534517,53.096580637557736,88042.5
1712795227.76,0,0,21.5,0.0,1.0,1.0,24.420625,45.28053836388084,1006.881324041369,53.15902150508852,89690.0
1712795229.73,0,0,21.5,0.0,1.0,1.0,24.42794921875,45.15059355972456,1006.879456164033,53.174652409079854,91207.0
1712795231.75,0,0,24.5,0.0,0.5,0.5,24.4352734375,45.026686204717144,1006.8715499562404,53.24081422368751,92668.0
1712795233.73,0,0,22.0,0.0,0.5,0.5,24.43947265625,44.926241884037466,1006.8809792554804,53.16190671995918,93809.0
1712795235.76,0,0,23.0,0.0,0.0,0.0,24.44318359375,44.82876120189374,1006.8835749312873,53.14018534575716,94817.5
1712795237.71,0,0,23.0,0.0,0.0,0.0,24.44220703125,44.757470967101504,1006.8837090499064,53.139063007596,94075.0
1712795239.76,0,0,30.0,0.0,1.0,1.0,24.4391796875,44.70671984413492,1006.8822271052532,53.151464373738754,95011.0
1712795241.72,0,0,24.0,0.0,1.0,1.0,24.435078125,44.65882088560202,1006.8807201143268,53.16407531003782,96461.0
1712795243.75,0,0,24.0,0.0,1.0,1.0,24.4364453125,44.632313044753076,1006.882085034516,53.15265322718002,96877.0
1712795245.73,0,0,24.0,0.0,1.0,1.0,24.43400390625,44.626102412716065,1006.8746570545834,53.214812942539304,97868.0
1712795247.69,0,0,24.0,0.0,0.0,0.0,24.43400390625,44.626102412716065,1006.8746570545834,53.214812942539304,97868.0
1712795249.72,0,0,23.0,0.0,0.0,0.0,24.43078125,44.62572606312231,1006.8650936832297,53.29484280208264,98676.0
1712795251.75,0,0,22.5,0.0,0.5,0.5,24.431953125,44.64364000617417,1006.8704532494596,53.249991867403196,98616.5
1712795253.72,0,0,27.0,0.0,0.5,0.5,24.438105468750003,44.63250704143441,1006.8692633494564,53.25994939437629,98645.5
1712795255.75,0,0,33.5,0.0,1.0,1.0,24.448359375,44.63074184447436,1006.8782059855072,53.18511429662904,98849.0
1712795257.71,0,0,33.5,0.0,1.0,1.0,24.4583203125,44.620054268589556,1006.8702815242375,53.251429016983664,99436.5
1712795259.75,0,0,22.0,0.0,0.5,0.5,24.46955078125,44.60655294059046,1006.8678751630327,53.27156627101783,99851.0
1712795261.72,0,0,29.5,0.0,0.5,0.5,24.484980468750003,44.5876185107694,1006.8636827792681,53.30664989977787,100601.5
1712795263.76,0,0,30.0,0.0,1.0,1.0,24.50080078125,44.5450364213214,1006.859262890506,53.34363741976324,100965.5
1712795265.74,0,0,30.0,0.0,1.0,1.0,24.51994140625,44.4998898162341,1006.8395460419549,53.50863822640552,101362.0
1712795267.72,0,0,21.0,0.0,1.0,1.0,24.53703125,44.45747409210652,1006.8302892356116,53.586104667344856,101361.5
1712795269.75,0,0,24.0,0.0,1.0,1.0,24.5512890625,44.39698162664254,1006.8215938417115,53.658873558302346,102326.0
1712795271.73,0,0,27.0,0.0,1.0,1.0,24.563984375,44.34520103005576,1006.8198422453759,53.67353214618502,102291.0
1712795273.75,0,0,24.5,0.0,0.5,0.5,24.5743359375,44.3049935058725,1006.8203115280878,53.669604858655795,102477.5
1712795275.7,0,0,24.5,0.0,0.5,0.5,24.582636718750003,44.2763837881571,1006.8277931574369,53.60699346771316,102982.0
1712795277.75,0,0,20.0,0.0,0.0,0.0,24.58830078125,44.24155790893483,1006.8275286593313,53.60920697365266,103142.0
1712795279.72,0,0,21.0,0.0,0.0,0.0,24.5940625,44.23335734823165,1006.8110301008633,53.74727875667416,103619.0
