Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1713638405.47,0,0,33.5,0.0,0.0,0.0,25.41935546875,38.26934914983495,1011.3798211084745,15.582165879702805,22592.5
1713638407.47,0,0,34.5,0.0,0.0,0.0,25.40275390625,38.579710741858634,1011.3846494164243,15.541906792013178,22460.0
1713638409.43,0,0,34.5,0.0,0.0,0.0,25.360859374999997,38.943974599050975,1011.3818378696491,15.565349778973808,23256.0
1713638411.47,0,0,36.5,0.0,0.0,0.0,25.40080078125,38.676109005343015,1011.3823259803498,15.561279848251935,27761.0
1713638413.45,0,0,30.0,0.0,0.0,0.0,25.44611328125,38.39492831667549,1011.3812170924482,15.570525894900118,31634.0
1713638415.47,0,0,36.5,0.0,0.0,0.0,25.4846875,38.15914714763032,1011.3734071155707,15.63564678745475,34994.0
1713638417.43,0,0,36.5,0.0,0.0,0.0,25.514179687499997,37.9797287813379,1011.3723509766207,15.644453054962723,37927.5
1713638419.47,0,0,39.5,0.0,0.0,0.0,25.535859375,37.842398754814496,1011.3628444599938,15.723720585468946,40707.0
1713638421.46,0,0,31.5,0.0,0.0,0.0,25.55294921875,37.718928932442424,1011.3613901966487,15.735846601940029,42974.5
1713638423.47,0,0,32.5,0.0,0.0,0.0,25.56828125,37.663614347464616,1011.358790464845,15.757523907631363,45201.5
1713638425.45,0,0,34.0,0.0,0.0,0.0,25.5833203125,37.62534877783804,1011.3643531432084,15.711140765545299,47557.0
1713638427.45,0,0,34.0,0.0,0.0,0.0,25.5926953125,37.549555574678735,1011.3693019690171,15.669876298241425,49685.5
1713638429.45,0,0,36.0,0.0,0.0,0.0,25.5997265625,37.46219435078214,1011.3660993963631,15.696580085002633,51595.0
1713638431.48,0,0,35.0,0.0,0.0,0.0,25.60724609375,37.38628578459772,1011.3602373726037,15.745459159136065,53288.5
1713638433.45,0,0,38.0,0.0,0.0,0.0,25.61388671875,37.32451237923123,1011.3581244174467,15.763077569400735,55053.0
1713638435.46,0,0,26.5,0.0,0.0,0.0,25.62248046875,37.27998530420568,1011.3557455381232,15.782913378706166,56501.5
1713638437.45,0,0,26.5,0.0,0.0,0.0,25.62951171875,37.22680104551931,1011.3559988991118,15.780800776740014,58009.0
1713638439.45,0,0,34.5,0.0,0.0,0.0,25.6383984375,37.16531601020043,1011.3540980330183,15.796650797602412,59388.0
1713638441.45,0,0,26.5,0.0,0.0,0.0,25.6383984375,37.16531601020043,1011.3540980330183,15.796650797602412,59388.0
1713638443.44,0,0,34.0,0.0,0.0,0.0,25.64201171875,37.12032357901488,1011.3574091089665,15.76904202331997,60875.0
1713638445.49,0,0,34.0,0.0,0.0,0.0,25.64181640625,37.06928991872742,1011.3536327629395,15.800530388425813,62234.0
1713638447.45,0,0,25.5,0.0,0.0,0.0,25.6423046875,37.009843754255286,1011.363073667023,15.721809363401544,63676.5
1713638449.47,0,0,35.0,0.0,0.0,0.0,25.6440625,36.97037056382687,1011.3633529702308,15.719480461374037,64859.5
1713638451.45,0,0,32.5,0.0,0.0,0.0,25.64474609375,36.94495498879291,1011.3636056345116,15.717373692291318,65803.0
1713638453.48,0,0,31.5,0.0,0.0,0.0,25.6493359375,36.92560158476209,1011.3538190081318,15.798977391873084,67202.5
1713638455.46,0,0,31.5,0.0,0.0,0.0,25.654609375,36.892165670984454,1011.3650285219428,15.705509301139905,68076.0
1713638457.47,0,0,40.5,0.0,0.0,0.0,25.65646484375,36.85556174462535,1011.3663316341379,15.69464363061577,69256.5
1713638459.45,0,0,31.5,0.0,0.0,0.0,25.656953125,36.827314633865136,1011.3654008122592,15.702405042193853,70156.5
1713638461.48,0,0,33.5,0.0,0.0,0.0,25.65744140625,36.80190215425364,1011.3644699872248,15.710166491168856,70928.5
1713638463.43,0,0,33.5,0.0,0.0,0.0,25.66193359375,36.7797262564237,1011.3588450151242,15.757069042492144,71933.5
1713638465.47,0,0,38.0,0.0,0.0,0.0,25.66359375,36.76292391702347,1011.355507255321,15.78490025430113,72494.5
1713638467.46,0,0,32.0,0.0,0.0,0.0,25.66671875,36.75475482872602,1011.3554272360457,15.785567495332725,73608.5
