Interval Start Time,Interval Number,Event Count
1710975505.246147,1,70
1710975515.2562706,2,79
1710975525.2664053,3,72
1710975535.2765079,4,76
1710975545.2866447,5,84
1710975555.296759,6,86
1710975565.3053203,7,56
1710975575.3154423,8,80
1710975585.325569,9,75
1710975595.3356903,10,72
1710975605.3423452,11,39
1710975615.3524787,12,80
