Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712788858.88,0,0,35.5,2.0,5.0,7.0,23.37931640625,48.169761687832775,1007.1321632522162,51.06013588926105,2250.0
1712788860.83,0,0,35.5,2.0,5.0,7.0,23.505878906249997,47.70275119895486,1007.1431556939108,50.968166820926456,3159.0
1712788862.88,0,0,39.5,2.0,4.0,7.0,23.592890625000003,47.29512524528191,1007.1541735814199,50.87598567821752,4033.0
1712788864.87,0,0,37.0,2.0,4.0,7.0,23.65265625,46.98104610626574,1007.1655176985257,50.78107598067684,4896.5
1712788866.85,0,0,40.5,2.0,4.0,7.0,23.65265625,46.98104610626574,1007.1655176985257,50.78107598067684,4896.5
1712788868.85,0,0,34.0,2.0,4.0,7.0,23.68927734375,46.790552375012794,1007.1709751364031,50.73541704862578,5794.0
1712788870.88,0,0,34.0,1.5,3.5,6.5,23.71193359375,46.60156139366313,1007.1665733655443,50.77224386469966,6714.5
1712788872.85,0,0,30.5,1.5,3.5,6.5,23.72599609375,46.426691021273335,1007.1662466045109,50.774977671705685,7713.5
1712788874.88,0,0,37.0,2.0,4.0,6.0,23.734980468750003,46.29919875268426,1007.1679761107902,50.76050797301532,8675.0
1712788876.85,0,0,43.0,2.0,4.0,6.0,23.735859374999997,46.176805711596266,1007.1711329870524,50.73409643922756,9663.0
1712788878.88,0,0,38.5,2.0,3.5,6.0,23.72873046875,46.05354561447318,1007.1784615476538,50.672783347247474,10607.5
1712788880.86,0,0,38.5,2.0,3.5,6.0,23.72033203125,45.954084757955016,1007.1759641057545,50.69367767214503,11592.0
1712788882.88,0,0,41.5,2.0,3.0,6.0,23.71232421875,45.86665367636718,1007.1784117815371,50.673199666596574,12545.0
1712788884.85,0,0,37.5,2.0,3.0,6.0,23.70275390625,45.791004720729056,1007.1843417326556,50.62358803728477,13490.5
1712788886.88,0,0,37.5,1.0,3.0,5.0,23.68849609375,45.74760182177958,1007.1877944355604,50.59470188247927,14449.5
1712788888.84,0,0,37.5,1.0,3.0,5.0,23.6766796875,45.72237259833015,1007.1874744241967,50.597379239966116,15387.0
1712788890.89,0,0,41.0,1.5,3.0,5.0,23.668574218750003,45.70652160047506,1007.174252562326,50.7079970412974,16335.0
1712788892.85,0,0,32.5,1.5,3.0,5.0,23.661738281250003,45.70869139166154,1007.1768866832072,50.68595915605166,17256.0
1712788894.88,0,0,39.0,2.0,3.0,5.0,23.6540234375,45.73160756305218,1007.1711943606417,50.73358296219449,18194.0
1712788896.85,0,0,37.5,2.0,3.0,5.0,23.64650390625,45.76646523373452,1007.1649589687992,50.785750535495445,19054.0
