Interval Start Time,Interval Number,Event Count
1710976131.9861147,0,0
1710976133.9861147,1,2
1710976143.99624,2,0
1710976154.006375,3,0
1710976164.0164957,4,2
1710976174.0266292,5,2
1710976184.0367608,6,2
1710976194.0468552,7,4
1710976204.053264,8,2
1710976214.0633745,9,6
1710976224.0733442,10,2
1710976234.0835922,11,0
1710976244.09372,12,2
