Interval Start Time,Interval Number,Event Count
1710975750.8087847,0,0
1710975752.8087847,1,2
1710975762.8189616,2,2
1710975772.8290803,3,2
1710975782.8392098,4,4
1710975792.849331,5,3
1710975802.8594654,6,4
1710975812.8695872,7,6
1710975822.8797095,8,2
1710975832.889832,9,6
1710975842.899956,10,7
1710975852.910079,11,6
1710975862.9202113,12,2
