Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712793938.06,0,0,42.5,1.0,1.0,1.0,22.45333984375,52.50811481621325,1007.9433773887769,44.27524446315595,66936.5
1712793940.0,0,0,50.5,1.0,1.0,1.0,22.343671875,54.82859093451529,1008.1063288390985,42.912865142456134,35283.5
1712793942.02,0,0,51.0,1.0,1.0,1.0,22.34513671875,54.444534054898355,1008.2205060260951,41.95837959554469,42895.0
1712793944.0,0,0,53.0,1.0,1.0,1.0,22.363886718750003,53.97011360522612,1008.2984646996858,41.3067187748001,51100.0
1712793946.0,0,0,53.0,1.0,1.0,1.0,22.37892578125,53.56159173265496,1008.3479992010243,40.89267868386519,58319.5
1712793948.0,0,0,46.0,1.0,1.0,1.0,22.39015625,53.22165788366155,1008.3698075270404,40.71039651221068,64196.5
1712793950.04,0,0,51.5,1.0,1.0,1.0,22.39015625,52.958264435627555,1008.3775468068059,40.645709535076435,69298.0
1712793951.96,0,0,54.5,1.0,1.0,1.0,22.39015625,52.958264435627555,1008.3775468068059,40.645709535076435,69298.0
1712793954.02,0,0,54.5,1.0,1.0,1.0,22.3899609375,52.7601619851347,1008.3832468048129,40.59806767334309,73488.0
1712793956.0,0,0,50.5,1.0,1.0,1.0,22.3841015625,52.60171020654782,1008.3891414181296,40.54879941177226,77139.0
1712793958.03,0,0,53.0,1.0,1.0,1.0,22.379609375,52.48062941189799,1008.3972720806019,40.480842213045676,79708.0
1712793960.0,0,0,51.0,1.0,1.0,1.0,22.376875,52.39381652331598,1008.3970990215936,40.48228869062907,82659.0
1712793962.02,0,0,56.5,1.0,1.0,1.0,22.37140625,52.30051807292979,1008.4010523242275,40.44924656993878,84878.0
1712793963.97,0,0,56.5,1.0,1.0,1.0,22.362421875000003,52.25615931185366,1008.3889362024676,40.55051463550453,86897.5
1712793966.02,0,0,48.5,1.0,1.5,1.5,22.35509765625,52.21819670481466,1008.3907140070462,40.53565546072383,88228.5
1712793968.0,0,0,46.5,1.0,1.5,1.5,22.3481640625,52.18337652482247,1008.3948501926386,40.501084639267916,89787.0
1712793970.02,0,0,45.0,0.5,1.5,1.5,22.336640625,52.16338349992611,1008.4009365567405,40.450214165959224,91203.5
1712793972.0,0,0,55.5,0.5,1.5,1.5,22.3239453125,52.155572873849806,1008.3982264888514,40.47286516645719,92411.0
1712793974.01,0,0,55.5,0.0,0.0,0.0,22.3118359375,52.16941903654369,1008.3964743059737,40.487510106555945,93599.0
1712793976.0,0,0,50.0,0.0,0.0,0.0,22.297382812499997,52.18604551666398,1008.3865885471836,40.570136759513545,94071.5
1712793978.02,0,0,42.5,1.0,1.0,1.0,22.281171875,52.21169616015368,1008.3936016534174,40.51152009340613,95140.0
1712793980.0,0,0,48.5,1.0,1.0,1.0,22.26359375,52.249509379813354,1008.3932181792889,40.51472522689424,95411.5
1712793982.01,0,0,48.5,1.0,1.0,1.0,22.246015625,52.274988980464016,1008.3928332917669,40.51794216728649,94447.0
1712793983.99,0,0,50.5,1.0,1.0,1.0,22.2274609375,52.291090847668826,1008.3856912690514,40.577636386813516,95225.5
1712793986.02,0,0,53.5,1.0,1.0,1.0,22.210859375,52.32287266324646,1008.3869014302427,40.5675216174756,96236.5
1712793987.99,0,0,53.0,1.0,1.0,1.0,22.19416015625,52.326876908711014,1008.3922489080651,40.52282653270217,96961.0
1712793990.03,0,0,53.5,0.0,0.0,0.0,22.177265625,52.36479713567901,1008.3895384722007,40.545480874378775,97469.5
1712793991.98,0,0,53.5,0.0,0.0,0.0,22.159296875,52.40567107347013,1008.391946450344,40.52535455640523,98212.5
1712793994.02,0,0,37.5,0.0,0.0,0.0,22.145625,52.45637168007702,1008.389348679749,40.54706710040391,98013.0
1712793996.0,0,0,54.5,0.0,0.0,0.0,22.131464843750003,52.500845312994514,1008.3962662488955,40.489249075582435,98821.0
1712793998.03,0,0,48.5,1.0,2.0,2.0,22.119453125,52.53325369259421,1008.3955236356517,40.49545594421059,99259.5
1712793999.95,0,0,48.5,1.0,2.0,2.0,22.119453125,52.53325369259421,1008.3955236356517,40.49545594421059,99259.5
1712794002.03,0,0,53.5,0.5,1.5,1.5,22.1065625,52.568641932973335,1008.3873254175792,40.563977852620376,99823.0
1712794004.0,0,0,49.5,0.5,1.5,1.5,22.09259765625,52.597717103268394,1008.3954192768931,40.49632818429998,100389.5
1712794006.02,0,0,42.0,0.0,1.0,1.0,22.07599609375,52.62645256167657,1008.3948999606428,40.50066867034053,100631.5
