Time,PM10,PM25,PM100,Temperature,Gas,Relative Humidity,Pressure,Altitude
1707956431.9132893,0,0,0,23.4190625,170051,44.233120329144725,1005.179721163554,67.40829359990724
1707956432.9262495,0,0,0,23.4266796875,172859,44.16202945276169,1005.1770075701656,67.43103290332205
1707956433.9391932,0,0,0,23.4341015625,175393,44.090944638832894,1005.1791073234926,67.41343743746889
1707956434.9522042,0,0,0,23.438203125,178002,44.04946554664586,1005.1790954739569,67.41353673385701
1707956435.9652503,0,0,0,23.442109375,179528,43.995993008993615,1005.187323603238,67.34458712674241
1707956436.9782135,0,0,0,23.4462109375,182661,43.9605251573459,1005.1924511729344,67.30161964261987
1707956437.9910865,0,0,0,23.4503125,183461,43.93704028824563,1005.2061446468813,67.18687333994309
1707956439.0038886,0,0,0,23.4528515625,184675,43.90739248837245,1005.2035266677284,67.20881094974557
1707956440.0169148,0,1,1,23.455390625,185905,43.88972233044096,1005.2060482282578,67.18768128831262
1707956441.0298917,0,0,0,23.45734375,185902,43.88994563054351,1005.2041661271162,67.2034525336162
1707956442.042899,0,0,0,23.4571484375,187490,43.87795063106877,1005.1987007762741,67.24925009569823
1707956443.0559087,0,0,0,23.4571484375,187704,43.85999322378751,1005.1952743754586,67.277962134608
1707956444.0689266,0,0,0,23.45734375,188996,43.848044996663816,1005.1938869208756,67.28958854066724
1707956445.081883,0,0,0,23.458125,190417,43.842149287449914,1005.1917634983282,67.30738213764883
1707956446.094903,0,0,0,23.459296875,190637,43.8303138387157,1005.1885783501665,67.33407271035853
1707956447.107901,0,0,0,23.45890625,191747,43.83625377253952,1005.1725080271799,67.4687381729649
1707956448.1209078,0,0,0,23.4583203125,192532,43.818233865874774,1005.1681044081012,67.50563975179767
1707956449.1338565,0,0,0,23.4571484375,193209,43.82408415701542,1005.1335992293034,67.79479181222435
1707956450.146761,0,0,0,23.4563671875,194120,43.80005986116565,1005.1065984140828,68.02106320230212
1707956451.1597133,0,0,0,23.45734375,194464,43.812138469986536,1005.0979478365414,68.09355754358475
1707956452.1726813,0,0,0,23.457734375,195156,43.80619938695948,1005.0934596802435,68.13116979024963
1707956453.1856806,0,0,0,23.458125,195852,43.800260507341974,1005.0855451254632,68.19749673032884
1707956454.1986446,0,0,0,23.4583203125,196319,43.80028280158861,1005.0807312467078,68.23783904820324
1707956455.2115786,0,0,0,23.4596875,196202,43.82437410830163,1005.0830112186751,68.21873190977969
1707956456.224582,0,0,0,23.459296875,196436,43.85425332273867,1005.1131974024851,67.96576211094846
1707956457.2375731,0,0,0,23.4602734375,198329,43.87232178884159,1005.1268184315148,67.85161557969671
1707956458.2505672,0,0,0,23.4602734375,198448,43.87232178884159,1005.1336712503745,67.79418827007166
1707956459.2635407,0,0,0,23.461640625,199168,43.860506552756256,1005.1445173768624,67.70329728979948
1707956460.2765865,0,0,0,23.460859375,199894,43.84246164753179,1005.146640876251,67.68550237167827
1707956461.289641,0,0,0,23.461640625,199409,43.83656610138236,1005.1547966335136,67.61715743472675
1707956462.3026204,0,0,0,23.4622265625,200258,43.82466406726541,1005.1506341959598,67.65203844766623
1707956463.3155665,0,0,0,23.4618359375,200136,43.79470080001854,1005.1534091552641,67.62878441820997
1707956464.3286078,0,0,0,23.462421875,200624,43.79476767824271,1005.1543863497672,67.62059558625691
1707956465.341664,0,0,0,23.4622265625,201237,43.78277940289312,1005.1557738295259,67.60896859927932
1707956466.3546517,0,0,0,23.461640625,201237,43.77672987456567,1005.1582230531988,67.58844430149014
1707956467.367665,0,1,1,23.46125,201483,43.752756793111395,1005.1558583783791,67.60826008599899
1707956468.3807511,0,1,1,23.4598828125,202350,43.746619286132955,1005.1330197986266,67.79964748744788
1707956469.393825,0,1,1,23.45890625,202973,43.7405265684997,1005.1176855634513,67.92815042320721
1707956470.4066277,0,0,0,23.4596875,202848,43.72267283732287,1005.1035696308527,68.04644522413057
1707956471.4196298,0,0,0,23.4598828125,203099,43.716714586363004,1005.0901897336576,68.15857311886691
1707956472.432772,0,0,0,23.4596875,203475,43.71071202664568,1005.084724419139,68.20437458160735
1707956473.4458015,0,0,0,23.459296875,204105,43.69870756047266,1005.0892125961668,68.16676189653452
1707956474.458769,0,0,0,23.4587109375,204105,43.68070249436865,1005.0813826671244,68.23237986343274
1707956475.4718251,0,0,0,23.4583203125,204359,43.69261665036167,1005.0704520683793,68.32398338663927
1707956476.4847624,0,0,0,23.4571484375,204613,43.68052452713264,1005.0684978269852,68.3403609273573
1707956477.4977612,0,0,0,23.457734375,204486,43.68059126450631,1005.0746145314755,68.28909990649235
1707956478.5107572,0,0,0,23.4571484375,205378,43.6685667595517,1005.0702110199302,68.32600349432987
1707956479.523689,0,0,0,23.4548046875,205378,43.66829987207289,1005.073155281135,68.30132912598974
1707956480.5367126,0,0,0,23.4532421875,205122,43.66214343452469,1005.0705496090783,68.32316594645567
1707956481.549736,0,0,0,23.451875,205635,43.638075904277954,1005.0991068862697,68.08384434238758
1707956482.5627117,0,0,0,23.4516796875,206408,43.65000918027273,1005.1159129760055,67.9430050447524
1707956483.5756578,0,0,0,23.4512890625,205635,43.64996471559457,1005.1323933363076,67.80489729412332
1707956484.588711,0,0,0,23.4493359375,206537,43.637786949286685,1005.134275577739,67.78912396133488
1707956485.6017509,0,0,0,23.44875,206667,43.64369787758608,1005.1504301386889,67.65374844012388
1707956486.6147027,0,1,1,23.44875,207187,43.6377202684524,1005.1589960180463,67.58196692652079
1707956487.6276367,0,1,1,23.4477734375,207448,43.643586731697496,1005.1659331968539,67.5238341809116
1707956488.6407328,0,1,1,23.4442578125,208235,43.63720906226243,1005.1669225302154,67.51554370972244
1707956489.6537757,0,1,1,23.4423046875,207841,43.63100948958621,1005.167091429365,67.51412835981944
1707956490.6667233,0,1,1,23.440546875,208235,43.642764287311245,1005.1727255199137,67.46691562424489
1707956491.6809616,0,1,1,23.44015625,207841,43.63674232970599,1005.1772134927206,67.42930731679438
1707956492.695087,0,1,1,23.43859375,207972,43.64254201568789,1005.1763206692272,67.43678898686485
1707956493.7081437,0,1,1,23.4376171875,208763,43.6543864633058,1005.1781182296112,67.421725820494
1707956494.7212625,0,1,1,23.43859375,209028,43.64851971217997,1005.1780338197299,67.42243315651332
1707956495.7342281,0,1,1,23.438203125,208895,43.630542817232104,1005.1808086235957,67.39918094283414
1707956496.7470772,0,1,1,23.438203125,208763,43.63652008312701,1005.1825217733345,67.3848251707841
1707956497.7599368,0,0,0,23.4378125,208895,43.636475634354646,1005.1784439776972,67.41899612447422
1707956498.772973,0,0,0,23.4372265625,209827,43.63640896153577,1005.1689010001386,67.49896443632403
1707956499.7859302,0,0,0,23.4372265625,209827,43.63640896153577,1005.1569089776033,67.59945614447014
1707956500.7989173,1,1,1,23.4391796875,209028,43.624676862806396,1005.1601663953325,67.57215927921037
1707956501.8120003,1,1,1,23.4423046875,209427,43.63698680617343,1005.1705177488901,67.48541635028188
1707956502.8254557,1,1,1,23.443671875,209560,43.6251879308737,1005.1710847939296,67.4806646111991
1707956503.8365386,0,0,0,23.4442578125,209961,43.62525459369169,1005.1634962008483,67.54425588489214
